state,year,description,v4,v5,category,text_notes,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
CA,2005,abortion,,0,BOR,"BOS 2006 text notes:California voters narrowly defeated
an initiative amendment that would have required
doctors to notify a parent or guardian 48 hours in
advance of performing an abortion on a minor.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KS,2005,same-sex marriage ban,,1,BOR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TX,2005,SSM,,1,BOR,"BOS 2006 text notes:And
Texas voters approved an amendment permitting a
judge to deny bail to an accused felon who violates
the conditions of his release before trial.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TX,2005,bail denial,,1,BOR,"BOS 2006 text notes:And
Texas voters approved an amendment permitting a
judge to deny bail to an accused felon who violates
the conditions of his release before trial.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CA,2005,redistricting,,0,SUFF/ELECT,"BOS 2006 text notes:The California redistricting amendment was a centerpiece of Gov. Arnold Schwarzenegger’s reform
package and would have established a three-member
panel of retired federal or state judges. This panel
would have been charged with immediately drawing
up new congressional, state legislative and Board of
Equalization districting plans, which would then be
submitted to the voters, and, if approved, remain in
effect through the next census.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OH,2005,redistricting,,0,SUFF/ELECT,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OH,2005,election administration,,0,SUFF/ELECT,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OH,2005,absentee ballots,,0,SUFF/ELECT,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,2005,campaign finance,,0,SUFF/ELECT,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NJ,2005,lieutenant governor,,1,EXEC,"BOS 2006 text notes:decision of New Jersey
voters in November to approve an amendment creating
a lieutenant governor position.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TX,2005,judicial conduct,,1,JUD,"BOS 2006 text notes:Texas added another member of the
general public and a constitutional county court
judge,",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
WA,2005,judicial conduct,,1,JUD,"BOS 2006 text notes:Washington made municipal court judges
eligible to hold a position previously reserved solely
for district court judges",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
TX,2005,officeholding,,0,LOCAL,BOS 2006 text notes:terms for members of regional mobility authorities,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WI,2005,officeholding,,1,LOCAL,BOS 2006 text notes:terms for county officials,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CA,2005,budget,,0,FIN,"BOS 2006 text notes:an initiative amendment promoted
by Gov. Schwarzenegger that would have prevented
state spending from exceeding the average of the
previous three years’ tax revenues and would have
also empowered the governor to unilaterally reduce
spending in certain circumstances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,2005,taxes on waterfront property,,1,FIN,"BOS 2006 text notes:Maine voters authorized
the legislature to reduce taxes on waterfront property
used for commercial fishing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,2005,budget,,0,FIN,"BOS 2006 text notes:New
York voters handily defeated an amendment proposed
by the legislature that would have shifted a
significant amount of state budgeting power from the
governor to the legislature, by providing that in the
event of an executive-legislative deadlock the legislature
would gain the power to prepare a budget.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2005,taxes on gas,,0,FIN,"BOS 2006 text notes:Oklahoma voters in September
rejected an initiative amendment that would
have increased gas and diesel taxes, earmarked this
revenue for highway and bridge construction, and
established a minimum level for annual state transportation
spending.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,2005,economic development package,,1,DEBT,"BOS 2006 text notes:In the only amendment to pass in
Ohio (out of five measures on the ballot), voters
approved a $2 billion economic development package
proposed by the legislature.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,2005,economic development not a debt,,1,DEBT,"BOS 2006 text notes:Texas voters
approved a number of policy amendments including
the creation of a rail relocation and improvement
fund,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,2005,railroad relocation fund,,1,DEBT,"BOS 2006 text notes:Texas voters
approved a number of policy amendments including
the creation of a rail relocation and improvement
fund,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,2005,bonds for pension fund,,0,DEBT,"BOS 2006 text notes:West Virginia voters in June
rejected an amendment that would have authorized
the issuance of $5.5 billion in bonds to finance the
state’s pension funds.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,2005,emission reducing equipment,,1,MISC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,2005,interest rates for commercial loans,,0,MISC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
