v1,v2,count
CA,2005,3
KS,2005,1
TX,2005,9
OH,2005,5
NJ,2005,2
WA,2005,1
WI,2005,1
ME,2005,1
NY,2005,1
OK,2005,1
WV,2005,1
AL,2006,26
AZ,2006,8
CA,2006,7
CO,2006,11
FL,2006,6
GA,2006,3
HI,2006,5
ID,2006,2
LA,2006,21
MD,2006,3
MI,2006,3
NV,2006,6
NH,2006,2
NM,2006,4
ND,2006,4
SC,2006,7
SD,2006,4
TN,2006,2
VA,2006,3
WI,2006,1
ME,2006,1
OK,2006,4
OR,2006,4
RI,2006,3
NE,2006,8
MN,2006,1
MO,2006,5
NJ,2006,3
UT,2006,1
WA,2006,1
WY,2006,3
AR,2006,1
MT,2006,1
OH,2006,3
AL,2007,5
DE,2007,2
LA,2007,4
NJ,2007,2
NY,2007,1
OR,2007,1
TX,2007,17
WA,2007,4
AL,2008,6
AR,2008,7
CA,2008,3
CO,2008,14
CT,2008,1
FL,2008,7
GA,2008,3
HI,2008,1
IA,2008,1
LA,2008,7
MD,2008,2
MI,2008,1
MN,2008,1
MO,2008,2
MT,2008,1
NE,2008,3
NV,2008,3
NJ,2008,2
NM,2008,5
NY,2008,1
ND,2008,2
OH,2008,4
OK,2008,4
OR,2008,6
SC,2008,3
SD,2008,4
UT,2008,5
WI,2008,1
WY,2008,2
AL,2009,10
AZ,2009,4
AR,2009,3
CA,2009,9
CO,2009,12
CT,2009,1
FL,2009,7
GA,2009,3
HI,2009,1
IA,2009,1
LA,2009,7
MD,2009,2
MI,2009,1
MN,2009,1
MO,2009,2
MT,2009,1
NE,2009,3
NV,2009,3
NJ,2009,2
NM,2009,5
NY,2009,1
ND,2009,2
OH,2009,4
OK,2009,4
OR,2009,6
SC,2009,3
SD,2009,4
UT,2009,5
WI,2009,1
WY,2009,2
AL,2010,47
AK,2010,1
AZ,2010,8
AR,2010,3
CA,2010,8
CO,2010,7
DE,2010,1
FL,2010,6
GA,2010,5
HI,2010,2
ID,2010,4
IL,2010,1
IN,2010,1
IA,2010,1
KS,2010,2
LA,2010,12
MD,2010,3
MO,2010,3
MT,2010,1
NE,2010,3
NV,2010,3
NJ,2010,1
NM,2010,5
NC,2010,1
ND,2010,1
OH,2010,2
OK,2010,10
OR,2010,6
RI,2010,1
SC,2010,4
SD,2010,2
TN,2010,1
UT,2010,4
VT,2010,1
VA,2010,3
WA,2010,2
AL,2011,1
DE,2011,1
LA,2011,6
ME,2011,1
MS,2011,3
NJ,2011,1
OH,2011,2
TX,2011,10
WA,2011,2
AL,2012,29
AZ,2012,8
AR,2012,2
CA,2012,3
CO,2012,3
FL,2012,11
GA,2012,2
HI,2012,2
ID,2012,2
IL,2012,1
KS,2012,1
KY,2012,1
LA,2012,9
MD,2012,3
MI,2012,5
MN,2012,2
MO,2012,2
NE,2012,4
NV,2012,1
NH,2012,2
NJ,2012,1
NM,2012,5
NC,2012,1
ND,2012,6
OH,2012,1
OK,2012,6
OR,2012,5
RI,2012,2
SC,2012,5
UT,2012,2
VA,2012,2
WA,2012,2
WV,2012,1
WY,2012,3
CO,2013,1
DE,2013,3
NJ,2013,2
NY,2013,6
TX,2013,9
AL,2014,12
AZ,2014,1
AR,2014,4
CA,2014,2
CO,2014,2
CT,2014,1
FL,2014,3
GA,2014,2
HI,2014,5
ID,2014,1
IL,2014,2
KS,2014,1
LA,2014,14
MD,2014,2
MS,2014,1
MO,2014,9
MT,2014,1
NV,2014,2
NJ,2014,2
NM,2014,5
NY,2014,2
NC,2014,1
ND,2014,6
OH,2014,1
OK,2014,3
OR,2014,3
RI,2014,2
SC,2014,2
SD,2014,1
TN,2014,4
TX,2014,1
UT,2014,3
VA,2014,1
WV,2014,1
WI,2014,1
WY,2014,1
DE,2015,1
LA,2015,4
MI,2015,1
MS,2015,2
OH,2015,3
TX,2015,7
WI,2015,1
AL,2016,37
AK,2016,1
AZ,2016,2
AR,2016,4
CA,2016,7
CO,2016,6
FL,2016,5
GA,2016,4
HI,2016,2
ID,2016,1
IL,2016,1
IN,2016,1
KS,2016,1
LA,2016,6
MD,2016,1
MN,2016,1
MO,2016,3
MT,2016,1
NV,2016,2
NJ,2016,2
NM,2016,1
ND,2016,3
OK,2016,5
OR,2016,3
PA,2016,2
RI,2016,1
SD,2016,5
UT,2016,3
VA,2016,2
WA,2016,1
WY,2016,1
AL,2017,3
DE,2017,3
LA,2017,3
ME,2017,1
NJ,2017,1
NY,2017,2
OH,2017,1
PA,2017,1
TX,2017,7
WV,2017,1
AL,2018,19
AZ,2018,3
AR,2018,2
CA,2018,6
CO,2018,9
CT,2018,2
DE,2018,1
FL,2018,12
GA,2018,5
IN,2018,1
LA,2018,6
MD,2018,2
MI,2018,2
MO,2018,4
NV,2018,4
NH,2018,2
NM,2018,2
NC,2018,6
ND,2018,2
OH,2018,2
OK,2018,5
OR,2018,4
SC,2018,1
SD,2018,4
UT,2018,3
VA,2018,2
WV,2018,2
WI,2018,1
DE,2019,1
KS,2019,1
LA,2019,4
ME,2019,1
NJ,2019,1
TX,2019,10
WA,2019,1
AL,2020,34
AR,2020,3
CA,2020,5
CO,2020,4
FL,2020,6
GA,2020,2
ID,2020,1
IL,2020,1
KY,2020,2
LA,2020,8
MD,2020,1
MI,2020,2
MS,2020,2
MO,2020,3
MT,2020,3
NE,2020,3
NV,2020,5
NJ,2020,3
NM,2020,2
ND,2020,2
OK,2020,3
OR,2020,1
RI,2020,1
SD,2020,2
UT,2020,7
VA,2020,2
WA,2020,1
WI,2020,1
WY,2020,1
CO,2021,1
LA,2021,4
ME,2021,1
NJ,2021,2
NY,2021,5
PA,2021,3
TX,2021,8
AL,2022,29
AZ,2022,5
AR,2022,4
CA,2022,3
CO,2022,3
CT,2022,1
FL,2022,3
GA,2022,2
ID,2022,1
IL,2022,1
IA,2022,1
KS,2022,3
KY,2022,2
LA,2022,11
MD,2022,5
MA,2022,1
MI,2022,3
MO,2022,4
MT,2022,1
NE,2022,2
NV,2022,3
NH,2022,1
NM,2022,3
ND,2022,1
OH,2022,2
OR,2022,3
SC,2022,2
SD,2022,2
TN,2022,4
TX,2022,2
UT,2022,1
VT,2022,2
WV,2022,4
WY,2022,2
DE,2023,4
LA,2023,8
ME,2023,4
NY,2023,2
OH,2023,2
TX,2023,14
WI,2023,2
AL,2024,22
AZ,2024,8
AR,2024,2
CA,2024,3
CO,2024,7
CT,2024,1
FL,2024,6
GA,2024,3
HI,2024,2
ID,2024,1
IN,2024,1
IA,2024,2
KY,2024,2
LA,2024,5
MD,2024,1
MN,2024,1
MO,2024,7
MT,2024,3
NE,2024,2
NV,2024,6
NH,2024,1
NM,2024,4
NY,2024,1
NC,2024,1
ND,2024,5
OH,2024,1
OK,2024,2
OR,2024,2
SC,2024,1
SD,2024,4
UT,2024,2
VA,2024,1
WV,2024,1
WI,2024,5
WY,2024,1
