year_bin,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2005-2006,0,26,1,8,10,11,0,0,6,3,5,0,2,0,0,1,0,21,0,3,2,3,1,5,0,1,0,4,8,2,5,4,6,1,8,5,4,0,3,7,4,2,9,1,3,0,2,2,1,3
2007-2008,0,11,7,0,3,14,1,2,7,3,1,1,0,0,0,0,0,11,0,2,0,1,1,2,0,1,0,2,3,0,4,5,3,2,4,4,7,0,0,3,4,0,17,5,0,0,4,1,0,2
2009-2010,1,57,6,12,17,19,1,1,13,8,3,2,4,1,1,2,0,19,0,5,0,1,1,5,0,2,1,3,6,0,3,10,6,1,6,14,12,0,1,7,6,1,0,9,3,1,2,1,0,2
2011-2012,0,30,2,8,3,3,0,1,11,2,2,0,2,1,0,1,1,15,0,3,1,5,2,2,3,0,1,6,4,2,2,5,1,0,3,6,5,0,2,5,0,0,10,2,2,0,4,0,1,3
2013-2014,0,12,4,1,2,3,1,3,3,2,5,0,1,2,0,1,0,14,0,2,0,0,0,9,1,1,1,6,0,0,4,5,2,8,1,3,3,0,2,2,1,4,10,3,1,0,0,1,1,1
2015-2016,1,37,4,2,7,6,0,1,5,4,2,0,1,1,1,1,0,10,0,1,0,1,1,3,2,1,0,3,0,0,2,1,2,0,3,5,3,2,1,0,5,0,7,3,2,0,1,1,0,1
2017-2018,0,22,2,3,6,9,2,4,12,5,0,0,0,0,1,0,0,9,0,2,1,2,0,4,0,0,6,2,0,2,1,2,4,2,3,5,4,1,0,1,4,0,7,3,2,0,0,1,3,0
2019-2020,0,34,3,0,5,4,0,1,6,2,0,0,1,1,0,1,2,12,0,1,1,2,0,3,2,3,0,2,3,0,4,2,5,0,0,3,1,0,1,0,2,0,10,7,2,0,2,1,0,1
2021-2022,0,29,4,5,3,4,1,0,3,2,0,1,1,1,0,3,2,15,1,5,1,3,0,4,0,1,0,1,2,1,2,3,3,5,2,0,3,3,0,2,2,4,10,1,0,2,0,0,4,2
2023-2024,0,22,2,8,3,7,1,4,6,3,2,2,1,0,1,0,2,13,0,1,4,0,1,7,0,3,1,5,2,1,0,4,6,3,3,2,2,0,0,1,4,0,14,2,1,0,0,7,1,1
