v1,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
AK,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
AL,3,0,0,2,10,3,28,1,12,1,0,0,2,0,2
AR,2,2,0,0,3,0,9,0,0,0,1,0,4,0,1
AZ,2,1,1,1,1,4,10,0,3,1,0,0,5,0,2
CA,6,0,2,0,1,0,11,0,0,5,0,0,12,4,4
CO,7,2,1,7,6,0,15,0,3,3,0,0,10,2,2
CT,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0
DE,2,0,1,0,0,0,13,0,7,0,0,0,1,0,0
FL,2,4,1,1,6,6,14,0,3,2,1,0,9,2,8
GA,0,0,0,0,3,4,12,0,5,0,0,0,0,0,0
HI,0,1,0,0,4,0,10,0,3,0,0,0,1,0,1
IA,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0
ID,1,0,1,0,0,0,5,0,0,0,0,0,3,0,1
IL,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0
IN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KS,3,0,0,0,0,0,1,1,0,1,0,0,1,1,1
KY,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0
LA,4,0,3,1,4,0,42,1,4,1,0,0,5,0,3
MA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MD,0,2,1,0,1,0,12,0,3,0,0,0,4,0,0
ME,1,0,0,0,0,1,4,0,2,0,0,0,2,1,0
MI,3,0,0,1,0,2,3,0,0,1,0,0,3,1,0
MN,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1
MO,4,4,1,0,1,0,10,1,3,1,1,0,7,2,0
MS,2,1,0,0,1,0,3,0,0,0,0,0,3,0,0
MT,2,1,0,0,0,0,2,0,0,1,0,0,2,0,0
NC,1,0,2,0,0,0,2,0,1,0,0,0,4,0,1
ND,2,0,0,0,1,1,11,0,0,0,0,0,5,0,0
NE,4,1,0,0,0,0,10,0,1,2,0,0,1,0,0
NH,1,0,0,0,0,0,2,0,2,0,0,0,1,1,0
NJ,0,2,1,1,1,1,10,0,5,0,0,0,1,0,0
NM,0,0,1,0,8,0,23,0,5,0,0,0,7,0,0
NV,7,0,0,1,3,4,12,0,3,1,0,0,4,0,2
NY,1,0,1,0,1,3,6,0,3,0,0,0,5,2,0
OH,3,2,1,0,0,2,6,0,1,1,0,0,8,5,0
OK,4,0,2,0,2,1,10,1,2,0,0,0,3,1,0
OR,6,8,0,0,6,2,14,0,3,1,0,0,6,0,0
PA,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0
RI,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
SC,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2
SD,2,1,0,1,1,0,9,0,1,1,0,0,4,1,1
TN,2,0,0,1,0,0,3,0,1,1,0,0,0,0,1
TX,4,0,2,1,5,3,22,0,8,0,1,0,0,0,1
UT,1,0,0,0,3,1,15,0,0,0,0,0,4,2,0
VA,2,0,0,1,0,0,3,0,0,0,0,0,1,1,1
VT,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
WA,0,0,1,1,1,0,4,0,2,0,0,0,2,1,0
WI,0,0,1,0,0,0,11,0,3,0,0,0,3,0,1
WV,1,0,0,0,1,0,4,0,1,1,0,0,0,0,0
WY,2,0,0,0,1,0,8,0,2,0,0,0,2,0,0
